office,co2e
Associated Students Concerts & Events,0.021326
Associated Students Concerts & Events,0.085303
Associated Students Concerts & Events,0.042652
Associated Students Concerts & Events,0.511819
Associated Students Concerts & Events,0.092830
Associated Students Concerts & Events,0.023835
Associated Students Concerts & Events,0.046415
Associated Students Concerts & Events,0.556980
Associated Students Concerts & Events,-0.000840
Associated Students Concerts & Events,-0.001680
Associated Students Concerts & Events,-0.000840
Associated Students Concerts & Events,-0.010080
Associated Students Concerts & Events,-0.002520
Associated Students Concerts & Events,-0.000840
Associated Students Concerts & Events,-0.002520
Associated Students Concerts & Events,-0.002520
Associated Students Concerts & Events,-0.150535
Associated Students Concerts & Events,-0.012545
Associated Students Concerts & Events,0.130200
Associated Students Concerts & Events,-0.025089
Associated Students Concerts & Events,-0.006272
Associated Students Concerts & Events,-0.262182
Associated Students Concerts & Events,-0.021326
Associated Students Concerts & Events,-0.011290
Associated Students Concerts & Events,-0.043906
Associated Students Concerts & Events,0.226800
Associated Students Concerts & Events,-0.036379
Associated Students Concerts & Events,0.189000
Associated Students Concerts & Events,-0.218276
Associated Students Concerts & Events,-0.018817
Associated Students Concerts & Events,-0.008781
Associated Students Concerts & Events,-1.941903
Associated Students Concerts & Events,-0.161825
Associated Students Concerts & Events,1.679160
Associated Students Concerts & Events,-0.080285
Associated Students Concerts & Events,-0.323650
Associated Students Concerts & Events,-0.075268
Associated Students Concerts & Events,-0.018817
Associated Students Concerts & Events,-0.037634
Associated Students Concerts & Events,-0.451605
Associated Students Concerts & Events,0.390600
Associated Students Concerts & Events,-0.010036
Associated Students Concerts & Events,-0.040143
Associated Students Concerts & Events,0.208320
Associated Students Concerts & Events,-0.020071
Associated Students Concerts & Events,-0.240856
Associated Students Concerts & Events,-0.021326
Associated Students Concerts & Events,-0.085303
Associated Students Concerts & Events,-0.042652
Associated Students Concerts & Events,0.442680
Associated Students Concerts & Events,-0.511819
Associated Students Concerts & Events,-0.092830
Associated Students Concerts & Events,-0.023835
Associated Students Concerts & Events,-0.046415
Associated Students Concerts & Events,-0.556980
Associated Students Concerts & Events,0.482160
Associated Students Concerts & Events,0.000520
Associated Students Concerts & Events,0.002509
Associated Students Concerts & Events,0.000000
